,CustomerID,ItemCategory1,Item_Cat_1_count,Item_Cat_1_amount
856,1000110,11,2,7582
857,1000110,5,9,48912
858,1000110,6,11,191228
859,1000110,8,3,25626
860,1000111,1,9,117873
861,1000111,13,1,555
862,1000111,16,3,37974
863,1000111,2,1,16139
864,1000111,3,2,21648
865,1000111,5,19,135078
866,1000111,6,3,52562
867,1000111,7,2,33843
868,1000111,8,14,105221
869,1000112,1,1,19520
870,1000112,10,5,112437
871,1000112,2,2,26222
872,1000112,3,17,177831
873,1000112,6,4,77206
874,1000113,1,14,198186
875,1000113,11,4,6442
876,1000113,15,2,29632
877,1000113,16,1,16860
878,1000113,5,6,38626
879,1000113,6,1,16036
880,1000113,7,1,4689
881,1000113,8,6,49549
882,1000114,12,1,1735
883,1000114,2,9,119752
884,1000114,3,18,177361
885,1000114,4,8,17013
886,1000114,5,8,46030
887,1000114,8,7,56092
888,1000116,1,20,280487
889,1000116,11,5,28624
890,1000116,14,1,15219
891,1000116,16,3,34078
892,1000116,2,4,61712
893,1000116,4,1,2845
894,1000116,5,11,72120
895,1000116,6,2,28094
896,1000116,8,8,67696
897,1000117,1,108,1535107
898,1000117,10,2,42063
899,1000117,11,46,184948
900,1000117,12,2,2763
901,1000117,13,2,1314
902,1000117,15,7,106296
903,1000117,16,2,20666
904,1000117,2,23,265434
905,1000117,3,23,196355
906,1000117,4,2,4305
907,1000117,5,35,182803
908,1000117,6,1,16520
909,1000117,8,29,183475
910,1000118,1,58,850113
911,1000118,13,1,936
912,1000118,15,1,12893
913,1000118,2,10,117461
914,1000118,4,1,1395
915,1000118,5,37,245262
916,1000118,8,10,73522
917,1000119,1,4,54818
918,1000119,11,1,7463
919,1000119,2,8,79014
920,1000119,3,16,145689
921,1000119,4,10,23283
922,1000119,5,17,110521
923,1000120,1,10,133675
924,1000120,11,1,5971
925,1000120,13,2,1144
926,1000120,15,1,21293
927,1000120,16,1,12294
928,1000120,3,1,10604
929,1000120,5,4,29712
930,1000120,6,5,77385
931,1000120,8,7,51731
932,1000121,1,23,399311
933,1000121,11,4,27010
934,1000121,15,3,55492
935,1000121,2,2,31995
936,1000121,3,1,10811
937,1000121,5,6,42167
938,1000121,8,2,19648
939,1000122,1,24,261044
940,1000122,3,1,3094
941,1000122,5,1,7045
942,1000123,1,85,1150882
943,1000123,10,4,61616
944,1000123,11,11,59827
945,1000123,12,1,1030
946,1000123,13,4,2846
947,1000123,15,2,29807
948,1000123,16,14,195302
949,1000123,18,7,20815
950,1000123,2,17,193563
951,1000123,3,3,24216
952,1000123,4,3,7724
953,1000123,5,86,489259
954,1000123,6,21,335070
955,1000123,8,94,665135
956,1000124,1,1,11599
957,1000124,16,2,32490
958,1000124,5,2,12076
959,1000124,8,9,79795
960,1000125,1,26,414576
961,1000125,11,1,4497
962,1000125,15,1,12980
963,1000125,16,2,28860
964,1000125,5,3,19536
965,1000125,8,3,24179
966,1000126,1,9,123729
967,1000126,10,1,23233
968,1000126,14,1,18284
969,1000126,5,7,52804
970,1000126,6,2,32273
971,1000126,8,9,83275
972,1000127,1,38,602952
973,1000127,10,1,19215
974,1000127,11,2,14952
975,1000127,13,2,1153
976,1000127,14,1,15062
977,1000127,15,2,34197
978,1000127,16,2,29511
979,1000127,2,5,58361
980,1000127,3,1,10977
981,1000127,4,1,3499
982,1000127,5,11,82148
983,1000127,6,6,102372
984,1000127,8,28,196862
985,1000128,1,2,34906
986,1000128,16,1,20872
987,1000128,2,1,13172
988,1000128,3,2,27182
989,1000128,5,3,17399
990,1000128,8,3,25834
991,1000129,1,42,665145
992,1000129,10,3,70882
993,1000129,2,3,26142
994,1000129,5,13,82920
995,1000129,6,22,398732
996,1000129,8,1,9755
997,1000130,1,66,1169290
998,1000130,11,1,1547
999,1000130,15,1,16952
1000,1000130,16,1,16722
1001,1000130,2,2,16921
1002,1000130,3,1,13207
1003,1000130,5,3,19481
1004,1000130,8,4,20391
1005,1000131,1,16,207049
1006,1000131,10,2,28553
1007,1000131,11,6,31938
1008,1000131,12,1,371
1009,1000131,15,2,26142
1010,1000131,16,3,33278
1011,1000131,17,1,8014
1012,1000131,18,1,2348
1013,1000131,2,3,42419
1014,1000131,3,7,66851
1015,1000131,4,2,5640
1016,1000131,5,44,247933
1017,1000131,6,8,113641
1018,1000131,7,5,90784
1019,1000131,8,51,366669
1020,1000132,1,4,66257
1021,1000132,11,1,2952
1022,1000132,2,1,12799
1023,1000132,3,2,21449
1024,1000132,4,3,7722
1025,1000132,5,34,234259
1026,1000133,1,9,136370
1027,1000133,11,3,14055
1028,1000133,12,1,1380
1029,1000133,14,1,15185
1030,1000133,16,6,91038
1031,1000133,2,2,16372
1032,1000133,3,1,13195
1033,1000133,4,1,3514
1034,1000133,5,26,153643
1035,1000133,6,4,53336
1036,1000133,8,38,303750
1037,1000134,1,70,655586
1038,1000134,15,1,8714
1039,1000134,2,2,23136
1040,1000134,3,4,45630
1041,1000134,4,1,1488
1042,1000134,5,18,101067
1043,1000134,8,5,41409
1044,1000135,1,8,121869
1045,1000135,11,2,6187
1046,1000135,16,2,28757
1047,1000135,2,3,35924
1048,1000135,3,2,24471
1049,1000135,4,1,2082
1050,1000135,5,14,96701
1051,1000135,6,1,12394
1052,1000135,8,5,32227
1053,1000136,1,25,204851
1054,1000136,10,4,57667
1055,1000136,11,10,50048
1056,1000136,12,4,3213
1057,1000136,13,2,1492
